epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.2672537128500086,0.7906824582451756,0.21101380418195645,0.8224041942697938
1,0.001,0.1809655659103462,0.8441337148164376,0.19416377514868574,0.8304928832771005
2,0.001,0.16647992250976848,0.8531627283485534,0.17269979366550015,0.8474968417441058
3,0.001,0.15683525635503304,0.8609910701589486,0.17917624630379902,0.8470155951674179
4,0.001,0.15515113636550015,0.8614077359100357,0.15775809361712373,0.8595688105279468
5,0.001,0.14910654663756914,0.8657676099034608,0.16444929899890542,0.8575504842926724
6,0.001,0.1459178083292169,0.8684179418045892,0.18480261137380757,0.8398580750094599
7,0.001,0.14285090182504756,0.8712324582210994,0.1550246679776916,0.862305235812489
8,0.001,0.14142478888048138,0.8720050681067946,0.16241533194840163,0.8574085895753227
9,0.001,0.1383156728974013,0.874266909782654,0.1573553292812613,0.8609744645375791
10,0.001,0.13664630843634257,0.8739723739475196,0.1603940369182834,0.8592824178652085
11,0.001,0.13439634728096184,0.8768956813144675,0.16224570672064498,0.8569353267783859
12,0.001,0.13150302511260947,0.8776112584529552,0.15588588387153474,0.8642893352148775
13,0.001,0.13127339582311856,0.8797950442431918,0.15219768802381967,0.8650144494593375
14,0.001,0.12878488166433497,0.8804590600097743,0.14683982132154288,0.8687488343247161
15,0.001,0.12740223147198224,0.8814687527938733,0.15684253717593652,0.8653729840956266
16,0.001,0.1274229064909253,0.8821189108175284,0.14895685303898615,0.8680830009007489
17,0.001,0.12495306704176615,0.8829271011329224,0.14248946168484594,0.871860739984743
18,0.001,0.1240725173859955,0.8850010965341485,0.14683984810717987,0.8697321678560372
19,0.001,0.12299610249078831,0.8864123992495883,0.14523645863122958,0.8694928489975484
20,0.001,0.12144763625858801,0.8869706694400993,0.1467015425034362,0.8689060285442024
21,0.001,0.12002320166819515,0.8879851811016627,0.14394511959245368,0.8703993647251923
22,0.001,0.11867760976425898,0.8884022765403977,0.1441463487807715,0.8707562740474405
23,0.001,0.11762391053385664,0.8898101514824379,0.15157655551211274,0.863469125503102
24,0.001,0.11498366724151078,0.8920886974271314,0.15041549774598195,0.8630477429402958
25,0.001,0.11470754629468775,0.8917139564584203,0.15250959704875114,0.8648354817318205
26,0.001,0.11335928111950412,0.892856515485052,0.13968704675086666,0.8744437602811261
27,0.001,0.11208680786631343,0.8944034511579352,0.145840529899224,0.8694901990372719
28,0.001,0.11026406606112496,0.8950428197339495,0.14091248492256023,0.8726560017295502
29,0.001,0.10936062888921616,0.8962632917549573,0.13987767708283688,0.8735658303779908
30,0.001,0.10910035670873036,0.8958788743287586,0.14808596095932286,0.866608532601671
31,0.001,0.10797140686979673,0.8971534016716506,0.1364437633445575,0.8763380194525421
32,0.001,0.10589629191490513,0.8992551437421923,0.13915112720829395,0.8734868521305652
33,0.001,0.10416763472076482,0.8996787637367174,0.14425976035248858,0.869825481365196
34,0.001,0.10428693249107479,0.8997943383888385,0.14072444653152466,0.8727394432727938
35,0.001,0.102134851218516,0.9021790757980223,0.13749169675085585,0.8752984102188384
36,0.001,0.1020850439003101,0.9014779798118676,0.13874108789751843,0.8744271529851692
37,0.001,0.10153719662868614,0.903410122297767,0.13789549448373492,0.8752899399335619
38,0.001,0.09987139751199174,0.9040926509534813,0.14390173650946964,0.871827789212758
39,0.001,0.09821499335494485,0.905674711441032,0.13664758518985434,0.876417675639659
40,0.001,0.09781068458983928,0.905338866429102,0.1389272208388335,0.874558124481987
41,0.001,0.0967162590259077,0.9066467920496915,0.13838632162465075,0.8746197831767389
42,0.001,0.09674000970208371,0.9067630901786135,0.1359479814838512,0.8765530589742125
43,0.001,0.09630546835309273,0.907305051761264,0.13629673845429927,0.8759732005416986
44,0.001,0.09576353688291457,0.9078333073376373,0.13561923474378426,0.8769722846407145
45,0.001,0.09532982474904371,0.9079078900341121,0.137129212303261,0.8761730110160312
46,0.001,0.09503450227438236,0.9077493989381643,0.13830992150763483,0.8743505259246285
47,0.001,0.09347086618233638,0.9093756689040846,0.13663364307237932,0.8771924565458173
48,0.001,0.0943787289907504,0.9089119773797976,0.13733479826972894,0.876952207808568
49,0.001,0.0937538638757937,0.9092649421126199,0.13555551707536295,0.8771490853142562
